13 56270.8    8.52	0	0.025 0.05
13 56270.8    11.40	0	0.030 0.05
13 56270.8    13.30	0	0.029 0.10
13 56270.8    17.45	0	0.035 0.10

; Epoch 14 - 2012 Dec 3.6
14 56284.6   13.30	0.047	0.022  0.10
14 56284.6   17.45	0.049	0.026  0.10
14 56284.6   27.50	0.036	0.050  0.10
14 56284.6   36.50	0.020	0.068  0.10

; Epoch 15 - 2013 Jan 5.7
15 56297.7   1.26	0.0504	0.102 0.05
15 56297.7   1.74	-0.0025	0.0680 0.05
15 56297.7   4.55	0.0328	0.0332 0.05
15 56297.7   7.399	0.0288	0.0234 0.05
15 56297.7   8.52	0.0286	0.0179 0.05
15 56297.7   11.4	0.0413	0.0233 0.05

; 2013 Feb 24.7
16 56347.7	1.26	0.346	0.503 0.05
16 56347.7 	1.74	-0.0272	0.368 0.05
16 56347.7 	4.55	-0.232	0.114 0.05
16 56347.7 	7.399	-0.0095	0.160 0.05
16 56347.7 	8.52	0.465	0.201 0.05
16 56347.7 	11.4	-0.036	0.301 0.05
	 
;2013 Mar 7.5	 	 
17    56358.6	13.22	-0.025	0.027 0.10
17    56358.6	 17.45	0.009	0.025 0.10
17    56358.6	 27.50	0.046	0.049 0.10
17    56358.6	 36.50	0.120	0.062 0.10

; 2013 Mar 8.6
17a 56359.6	13.3	-0.0319	0.0232 0.10
17a 56359.6	17.4	0.0240	0.0291 0.10
17a 56359.6	27.5	0.113	0.0653 0.10
17a 56359.6	36.5	0.0109	0.0826	 0.10 
	 
; 2013 May 29.4	 
18 56441.4 	 1.26	0.0811	0.396 0.05
18 56441.4 	 1.74	-0.202	0.326 0.05
18 56441.4 	 4.55	0.0437	0.0331 0.05
18 56441.4 	 7.399	-0.0098	0.0207 0.05
18 56441.4 	 8.52	-0.0026	0.0178 0.05
18 56441.4 	 11.4	-0.0266	0.0191 0.05
	 
; 2013 Jun 3.2	 
18 56446.2 	13.3   -0.0169	0.0243 0.10
18 56446.2 	 17.4   0.0260	0.0291 0.10
18 56446.2 	 27.5   0.112	0.0771 0.10
18 56446.2 	 36.5   -0.0663	0.0950 0.10

; 2013 Aug 22.2
19 56526.2	1.26	-0.571	0.276 0.05
19 56526.2	1.74	-0.348	0.169 0.05
19 56526.2	4.55	-0.0030	0.0275 0.05
19 56526.2	7.40	-0.0045	0.0190 0.05
19 56526.2	8.52	0.00449	0.0216 0.05
19 56526.2	11.4	-0.0051	0.0239 0.05

; 2013 Aug 26.2
20 56530.2	13.3	-0.0073	0.0308 0.10
20 56530.2	17.4	-0.0091	0.0526 0.10
20 56530.2	27.5	0.0271	0.0105 0.10
20 56530.2	36.5	0.110	0.110 0.10
	 
