JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459472.643275,9.4116,0.0342,,V,WGR,,115,110,X26803MT,,0,1.469,Z,16.8447,14.5504,,RS OPH,AAVSO,STD,,,,
2459472.643426,9.3277,0.0364,,V,WGR,,115,110,X26803MT,,0,1.469,Z,16.9013,14.5243,,RS OPH,AAVSO,STD,,,,
2459473.27569,9.6,,,Vis.,CSZ,,96,96,X22686BO,8L,,,Z,,,,RS Oph,MCSE,STD,,,,
2459473.31,9.3,,,Vis.,BLQ,,,,24.02,"""M,x75; R200""",,,Z,,,,RS OPH,BAA-VSS,STD,,,,BAAVSS
2459473.31587,10.253,0.017,,B,BDG,,ENSEMBLE,129,AAVSO  X20036D,MEAN OF 15 OBS,1,2.043,Z,,13.811,,RS OPH,BAA-VSS,STD,1,,,
2459473.31596,9.651,0.020,,V,BDG,,ENSEMBLE,129,AAVSO  X20036D,MEAN OF 15 OBS,1,2.044,Z,,12.964,,RS OPH,BAA-VSS,STD,1,,,
2459473.32986,9.299,0.093,,TG,HGEA,,HD 162506,,K SIMBAD,COMP STAR=HD 162506 WITH 8.263 MAGNITUDE V-BAND (SIMBAD) CANON EOS 6D MEASUREMENT BY MY ASTRO-COLLEAGUE DR. THOMAS KUNZEMANN,0,,Z,8.263,,,RS OPH,,STD,,,,
2459473.335,9.7,,,Vis.,PYG,YU,96-1,,AAVSO X25410AKQ,,,,Z,,,,RS OPH,BAA-VSS,STD,,,,
2459473.3444,9.4,,,Vis.,MUY,Y,91,96,X25294KJ,ACTIVE,,,Z,,,,RS OPH,VVS,STD,,,,
2459473.34722,<9.2,,,Vis.,MED,B,9.6,,B,,,,Z,,,,Rs oph,AAVSO,STD,,,,
2459473.34792,9.6,,,Vis.,GKI,B,9.6,8.4,X23198BLY,,,,Z,,,,RS oph,,STD,,,,
2459473.35625,9.3,,,Vis.,ATDA,,96,84,X26910BG,80mm refractor / 32mm Erfle,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459473.362,9.709,,,TG,PYG,,96,,AAVSO X26796PE,Y  SLOOH,0,,Z,9.6,,,RS OPH,BAA-VSS,STD,,,,
2459473.50972,9.2,,,Vis.,ACN,K,94,,X26808AAO,VISDIG; PHOTO 8873 ALRB,,,Z,,,,RS OPH,REA,STD,,,,
2459473.53909,9.667,0.002,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459473.54006,9.640,0.006,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459473.54105,9.633,0.004,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459473.54203,9.667,0.008,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459473.54305,9.676,0.006,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459473.54389,9.643,0.010,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459473.55208,9.5,,,Vis.,SNE,,91,96,X26658AXD,,,,Z,,,,RS Oph,AAVSO,STD,,,,
2459473.56936,9.5,,,Vis.,ZUD,W,96,91,X26817PA,,,,Z,,,,RS Oph,AAVSO,STD,,,,
2459474.3521,9.6,,,Vis.,GZN,,91,98,23013BTN,,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459474.504491,10.114,0.031,,B,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.737,Z,,13.811,,RS OPH,AAVSO,STD,,,,
2459474.5048,9.721,0.038,,V,SHS,BU,ensemble,000-BBZ-750,13622CWC,,1,1.820,Z,,7.860,,1744-06,AAVSO,STD,,,,
2459474.505214,9.092,0.015,,V,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.739,Z,,12.586,,RS OPH,AAVSO,STD,,,,
2459474.505793,7.839,0.013,,R,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.742,Z,,12.426,,RS OPH,AAVSO,STD,,,,
2459474.506372,7.870,0.015,,I,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.744,Z,,11.871,,RS OPH,AAVSO,STD,,,,
2459474.507118,10.134,0.029,,B,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.748,Z,,13.701,,RS OPH,AAVSO,STD,,,,
2459474.508472,10.145,0.030,,B,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.755,Z,,13.701,,RS OPH,AAVSO,STD,,,,
2459474.509196,9.087,0.013,,V,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.757,Z,,12.527,,RS OPH,AAVSO,STD,,,,
2459474.509688,7.841,0.014,,R,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.759,Z,,12.424,,RS OPH,AAVSO,STD,,,,
2459474.510122,7.885,0.017,,I,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.761,Z,,11.857,,RS OPH,AAVSO,STD,,,,
2459474.510822,10.090,0.032,,B,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.766,Z,,13.650,,RS OPH,AAVSO,STD,,,,
2459474.511545,9.095,0.013,,V,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.768,Z,,12.583,,RS OPH,AAVSO,STD,,,,
2459474.512037,7.838,0.014,,R,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.771,Z,,12.469,,RS OPH,AAVSO,STD,,,,
2459474.512471,7.872,0.017,,I,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.773,Z,,11.922,,RS OPH,AAVSO,STD,,,,
2459474.51316,10.135,0.030,,B,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.777,Z,,13.748,,RS OPH,AAVSO,STD,,,,
2459474.513883,9.108,0.013,,V,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.780,Z,,12.559,,RS OPH,AAVSO,STD,,,,
2459474.514387,7.830,0.014,,R,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.782,Z,,12.498,,RS OPH,AAVSO,STD,,,,
2459474.514821,7.874,0.017,,I,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.785,Z,,11.900,,RS OPH,AAVSO,STD,,,,
2459474.515509,10.113,0.030,,B,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.790,Z,,13.763,,RS OPH,AAVSO,STD,,,,
2459474.516233,9.102,0.014,,V,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.793,Z,,12.591,,RS OPH,AAVSO,STD,,,,
2459474.516725,7.826,0.013,,R,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.795,Z,,12.484,,RS OPH,AAVSO,STD,,,,
2459474.51717,7.879,0.017,,I,DJED,,ENSEMBLE,000-BBZ-425,X26796EZ,,0,1.798,Z,,11.838,,RS OPH,AAVSO,STD,,,,
